gene_symbol,count
HFE,15
TCF3,13
LOC100506403 /// LOC101928269 /// RUNX1,13
CD44,13
CSNK1A1,13
DNAH1,13
ARHGEF12,13
MALAT1,12
GNAS,12
MAGI1,12
ZBTB20,12
CFLAR,12
IGK /// IGKC,11
NRP2,11
FGFR2,11
PAPPA,11
SPTBN1,11
SLC8A1,11
CALD1,11
OFCC1,11
STRN,10
HCG18,10
KMT2A,10
MEG3,10
MDM2,10
PDLIM5,10
DST,10
PML,10
HIPK2,10
IDS,10
CALM1 /// CALM2 /// CALM3,10
SLC25A37,10
PTGER3,10
RGS12,10
MED28,10
QKI,10
MSI2,9
TRIO,9
IKZF1,9
ERICH1,9
LOC101930150 /// NF1,9
ALDOB,9
ACTB /// ACTG1,9
EGFR,9
NPAS3,9
ZDHHC21,9
RHEB,9
TNPO1,9
VPS53,9
GOSR2,9
DCAF8,9
LMF1,9
NTRK3,9
LRRFIP1,9
ESR1,9
FBXO9,9
FAM120A,9
ASPH,9
LOC101929336 /// RIF1,9
YME1L1,9
ZNF207,9
PPARA,9
AKAP13,9
HMGA2,9
MIR612 /// NEAT1,9
C1orf86,9
SMARCA4,9
FOXP2,9
ARHGEF7,9
GART,9
FRMD4A,8
DNAH6,8
SOX6,8
MAATS1,8
DOCK5,8
NFIB,8
PIAS2,8
PAX8,8
TOR1AIP2,8
MACF1,8
HNRNPD,8
RORA,8
MATR3 /// SNHG4,8
ADAM22,8
CDK12,8
ITSN1,8
DIP2A,8
TRPM3,8
BRWD1,8
GGA2,8
TNRC18,8
COL6A1,8
RBBP6,8
NKTR,8
CD84,8
DR1,8
MCF2L,8
SOBP,8
SLC6A2,8
NUCKS1,8
RNF213,8
NF2,8
UBE2H,8
TCF4,8
MBP,8
MLLT10,8
SRSF1,8
NAV1,8
APLP2,8
HDGFRP3,8
LPP,8
AFF4,8
GLS,8
DTNA,8
ARSD,8
RPL13 /// SNORD68,8
CDC14B,8
CAPRIN1,8
FOXP1,8
KLF12,8
N4BP2L1,8
GAB1,7
ARRB1,7
ZADH2,7
PSEN1,7
CELF1,7
FOXK2,7
ZAK,7
USP49,7
DYNC1H1,7
FBXO32,7
ANKH,7
CA12,7
TP63,7
EFCAB6,7
SLC38A10,7
EIF1,7
EFCAB14,7
TTLL5,7
DLG1,7
CREB1,7
SLAIN2,7
RBM25,7
BRD4,7
RUFY2,7
IL6ST,7
TMEM67,7
THBS1,7
FGFR1,7
FGFR1OP2,7
CASP2,7
CDK6,7
HIF3A,7
PARVA,7
FGD2,7
DNAJC21,7
RC3H2,7
PRLR,7
RHOJ,7
RUNX1T1,7
XIST,7
ZBTB10,7
PIK3C3,7
